Cost,RiskAdjustedCost,Frequency,Minor,Major,PCPID,ServiceProviderID,InNetwork
0.00,0.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,12582,-1
407.00,204.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",736,12231,-1
2611.00,13055.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",744,11002,-1
876.00,1951.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",744,14382,-1
940.00,5810.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",744,18678,-1
286.00,422.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",744,31332,-1
781.00,1051.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",922,19268,-1
556.00,1594.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2303,4100,-1
482.00,1906.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2409,3991,-1
293.00,733.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2409,44620,-1
575.00,816.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",2457,3991,-1
36.00,10.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2457,25175,-1
0.00,0.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2457,31489,-1
0.00,0.00,2,Ancillary Services,Unspecified and ancillary services,85,2828,-1
251.00,1255.00,10,Ancillary Services,Unspecified and ancillary services,404,3680,1
109.00,156.00,2,Ancillary Services,Unspecified and ancillary services,3054,3680,1
146.00,92.00,4,Ancillary Services,Unspecified and ancillary services,3073,2828,-1
449.00,525.00,8,Ancillary Services,Unspecified and ancillary services,3073,3680,1
233.00,574.00,6,Ancillary Services,Unspecified and ancillary services,3189,3680,1
109.00,363.00,2,Ancillary Services,Unspecified and ancillary services,3192,3680,1
231.00,938.00,5,Ancillary Services,Unspecified and ancillary services,3758,3680,1
165.00,275.00,3,Ancillary Services,Unspecified and ancillary services,3789,2828,-1
142.00,473.00,2,Ancillary Services,Unspecified and ancillary services,4130,2828,-1
305.00,490.00,4,Ancillary Services,Unspecified and ancillary services,4262,3680,1
383.00,379.00,7,Ancillary Services,Unspecified and ancillary services,4301,3680,1
1611.00,2686.00,7,Ancillary Services,Unspecified and ancillary services,4789,3477,-1
106.00,56.00,2,Ancillary Services,Unspecified and ancillary services,4792,2828,-1
3126.00,1424.00,16,Ancillary Services,Unspecified and ancillary services,4792,3477,-1
253.00,580.00,4,Ancillary Services,Unspecified and ancillary services,31674,3680,1
265.00,318.00,5,Ancillary Services,Unspecified and ancillary services,31700,3680,1
3987.00,19935.00,19,Ancillary Services,Unspecified and ancillary services,31700,9426,-1
194.00,177.00,3,Ancillary Services,Unspecified and ancillary services,32175,2828,-1
378.00,1890.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",68,26092,-1
1300.00,13000.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",68,28865,-1
949.00,6205.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",85,11358,-1
430.00,4300.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",85,18678,-1
298.00,2045.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,28941,-1
787.00,202.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,31743,-1
256.00,428.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",174,21937,-1
1081.00,4903.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",180,3257,-1
823.00,4115.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",180,3536,-1
974.00,4804.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",180,4376,1
1950.00,16250.00,6,Anesthesia,"Anesthesia, labs, and medication supplies",180,28865,-1
1300.00,9750.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",180,32461,-1
580.00,2900.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",180,44620,-1
802.00,1864.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",209,44620,-1
714.00,5364.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",242,15076,-1
555.00,2775.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",242,18678,-1
324.00,2330.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,19382,-1
267.00,727.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,31332,-1
332.00,1660.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,3216,-1
664.00,3320.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,3846,-1
602.00,3428.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,19066,-1
153.00,225.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,31430,-1
1307.00,3349.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,25025,-1
471.00,2054.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,44620,-1
431.00,1115.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",658,3216,-1
680.00,3400.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,12620,-1
839.00,4525.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",658,19066,-1
133.00,89.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",658,31430,-1
357.00,1254.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",710,3482,-1
1542.00,1126.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",710,11813,-1
118.00,131.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",710,12574,-1
1300.00,5417.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,28865,-1
319.00,1393.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,44620,-1
918.00,4590.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",744,3991,-1
594.00,2970.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",744,4100,-1
975.00,3170.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",2798,4100,-1
734.00,2163.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2798,4376,1
192.00,54.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",2963,26491,-1
667.00,1121.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",3073,3536,-1
650.00,6500.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",3192,28865,-1
23.00,4.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",3662,3991,-1
1039.00,3980.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",3758,11002,-1
0.00,0.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",3789,11858,-1
890.00,7115.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",3904,19066,-1
303.00,591.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",3950,3257,-1
1445.00,5171.00,6,Anesthesia,"Anesthesia, labs, and medication supplies",3950,3536,-1
218.00,726.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",3954,31332,-1
954.00,4770.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",4021,3536,-1
336.00,1680.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4021,19826,-1
266.00,157.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4043,3482,-1
511.00,1350.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",4079,3536,-1
133.00,133.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4079,11754,-1
230.00,766.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4079,12574,-1
133.00,443.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4079,29555,-1
370.00,1191.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",4262,3536,-1
513.00,5130.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4301,3555,-1
376.00,342.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4301,24600,-1
434.00,2170.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4315,3216,-1
562.00,1973.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4315,3846,-1
482.00,2410.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",4315,4100,-1
0.00,0.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4315,21717,-1
838.00,1637.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",4356,44620,-1
852.00,655.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",4789,31888,-1
346.00,494.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4792,19826,-1
421.00,842.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4792,29739,-1
428.00,535.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",4792,31448,-1
255.00,740.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",4792,32088,-1
417.00,905.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",9488,44620,-1
902.00,6140.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",19351,19826,-1
169.00,845.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",19351,28941,-1
1190.00,10510.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",28932,19826,-1
1300.00,9750.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",28932,28865,-1
650.00,1300.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",28932,31802,-1
889.00,5416.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",31700,4376,1
139.00,199.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",31700,31273,-1
83.00,104.00,2,Arterio- or venogram (not heart and head),Diagnostic Procedures,3189,3136,1
134.00,223.00,2,Arthrocentesis,Musculoskeletal System,744,242,-1
425.00,305.00,5,Arthrocentesis,Musculoskeletal System,744,6462,-1
12.00,4.00,2,Arthrocentesis,Musculoskeletal System,3758,4344,1
560.00,1120.00,2,Arthrocentesis,Musculoskeletal System,3950,3680,1
110.00,100.00,2,Arthrocentesis,Musculoskeletal System,3950,4801,1
52.00,87.00,2,Arthrocentesis,Musculoskeletal System,4313,4313,-1
3999.00,6263.00,3,Arthroplasty knee,Musculoskeletal System,3073,3456,1
66.00,165.00,2,Arthroscopy,Musculoskeletal System,2409,4801,1
194.00,1940.00,2,Arthroscopy,Musculoskeletal System,4789,31504,-1
5073.00,1301.00,2,Bone marrow transplant,Hemic and Lymphatic System,85,28312,-1
271.00,67.00,2,Cancer chemotherapy,Evaluation and Therapeutic Procedures,180,4865,-1
0.00,0.00,2,Cancer chemotherapy,Evaluation and Therapeutic Procedures,3101,4357,-1
6852.00,2284.00,3,Cancer chemotherapy,Evaluation and Therapeutic Procedures,4383,4357,-1
473.00,430.00,3,Cancer chemotherapy,Evaluation and Therapeutic Procedures,4792,3781,-1
156.00,62.00,2,Abdominal paracentesis,Digestive System,388,31535,-1
911.00,2306.00,17,Ancillary Services,Unspecified and ancillary services,710,3680,1
122.00,204.00,4,Ancillary Services,Unspecified and ancillary services,2409,3680,1
475.00,443.00,13,Ancillary Services,Unspecified and ancillary services,2457,3680,1
226.00,485.00,3,Ancillary Services,Unspecified and ancillary services,2798,3680,1
2467.00,2467.00,12,Ancillary Services,Unspecified and ancillary services,4301,9426,-1
710.00,942.00,11,Ancillary Services,Unspecified and ancillary services,4356,3680,1
96.00,480.00,2,Ancillary Services,Unspecified and ancillary services,5739,2828,-1
100.00,200.00,4,Ancillary Services,Unspecified and ancillary services,31752,3680,1
771.00,3123.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",12,3482,-1
568.00,2840.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",68,18678,-1
465.00,3570.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,19066,-1
314.00,1056.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,31430,-1
547.00,4155.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",174,18678,-1
116.00,145.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",174,29555,-1
547.00,1788.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",180,11002,-1
750.00,6100.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",209,18678,-1
235.00,392.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",209,31332,-1
375.00,1875.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",210,3846,-1
870.00,4350.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",210,3991,-1
603.00,4550.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",210,19066,-1
972.00,3250.00,5,Anesthesia,"Anesthesia, labs, and medication supplies",210,44620,-1
341.00,1096.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,10596,-1
893.00,2443.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",242,11358,-1
1006.00,7083.00,5,Anesthesia,"Anesthesia, labs, and medication supplies",242,19066,-1
426.00,649.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",242,31273,-1
814.00,4070.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,44620,-1
395.00,1698.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,3257,-1
403.00,2015.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,3482,-1
1950.00,13000.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",388,28865,-1
479.00,958.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",451,3991,-1
575.00,2098.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",451,4376,1
590.00,4070.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,18678,-1
230.00,629.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",508,31332,-1
137.00,196.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",658,3257,-1
219.00,243.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,3482,-1
557.00,4130.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,19826,-1
550.00,2096.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",682,4100,-1
664.00,3320.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,3536,-1
21.00,23.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,31332,-1
587.00,2935.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",744,3216,-1
900.00,4500.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",744,3482,-1
553.00,1963.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",744,12231,-1
521.00,2605.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",744,12620,-1
253.00,1265.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2287,19608,-1
377.00,1885.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2295,44620,-1
1300.00,13000.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",2303,28865,-1
1219.00,5402.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",2409,3257,-1
1252.00,3008.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",2457,3257,-1
140.00,280.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2457,32580,-1
627.00,3100.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",2798,3482,-1
626.00,2577.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2835,4100,-1
423.00,2115.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2958,12620,-1
248.00,1240.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",2963,3991,-1
242.00,1128.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",3073,3216,-1
99.00,40.00,2,Abdominal paracentesis,Digestive System,388,20481,-1
78.00,111.00,2,Abdominal paracentesis,Digestive System,4079,21291,-1
1899.00,381.00,3,Abdominal paracentesis,Digestive System,7427,4323,-1
390.00,80.00,7,Abdominal paracentesis,Digestive System,7427,23618,-1
0.00,0.00,2,Amputation of lower extremity,Musculoskeletal System,3709,2541,1
357.00,714.00,8,Ancillary Services,Unspecified and ancillary services,174,3680,1
111.00,222.00,2,Ancillary Services,Unspecified and ancillary services,451,3680,1
0.00,0.00,2,Ancillary Services,Unspecified and ancillary services,2798,2828,-1
111.00,139.00,2,Ancillary Services,Unspecified and ancillary services,3101,3680,1
231.00,256.00,2,Ancillary Services,Unspecified and ancillary services,3662,10739,-1
0.00,0.00,2,Ancillary Services,Unspecified and ancillary services,3758,10516,1
154.00,154.00,2,Ancillary Services,Unspecified and ancillary services,4079,9667,-1
146.00,112.00,2,Ancillary Services,Unspecified and ancillary services,4315,3680,1
266.00,465.00,7,Ancillary Services,Unspecified and ancillary services,4383,3680,1
2222.00,1012.00,11,Ancillary Services,Unspecified and ancillary services,4792,9426,-1
950.00,4750.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",1,19268,-1
136.00,272.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",68,3216,-1
324.00,405.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",68,30955,-1
540.00,1820.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,3257,-1
604.00,3020.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,4376,1
1950.00,11375.00,5,Anesthesia,"Anesthesia, labs, and medication supplies",85,28865,-1
1300.00,9750.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,31802,-1
133.00,222.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",85,32088,-1
1356.00,5700.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",174,3216,-1
909.00,3810.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",180,3991,-1
799.00,6715.00,5,Anesthesia,"Anesthesia, labs, and medication supplies",180,18678,-1
274.00,1930.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",180,28941,-1
864.00,700.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",209,3991,-1
305.00,703.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",209,4100,-1
332.00,1660.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,3216,-1
639.00,3195.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,11813,-1
520.00,1724.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",242,18895,-1
407.00,521.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",242,19268,-1
634.00,3170.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",388,19826,-1
523.00,747.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",451,3257,-1
847.00,2395.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",451,3482,-1
233.00,644.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,12582,-1
518.00,2590.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",508,19066,-1
301.00,1505.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,14382,-1
0.00,0.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,21403,-1
34.00,57.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,24343,-1
286.00,124.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",658,27161,-1
577.00,1072.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",682,3846,-1
950.00,4750.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",682,14278,-1
346.00,1051.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,3991,-1
556.00,1594.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",710,4100,-1
408.00,2660.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,16226,-1
642.00,6420.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",710,18678,-1
357.00,1190.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",736,10596,-1
1046.00,5230.00,2,Anesthesia,"Anesthesia, labs, and medication supplies",736,19192,-1
1205.00,6025.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",744,3257,-1
792.00,3960.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",744,3536,-1
1248.00,5244.00,4,Anesthesia,"Anesthesia, labs, and medication supplies",744,4376,1
1950.00,13000.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",744,28865,-1
977.00,3421.00,3,Anesthesia,"Anesthesia, labs, and medication supplies",744,44620,-1
163.00,40.00,2,Cardiac stress tests,Diagnostic Procedures,297,11330,-1
6202.00,31010.00,2,Cesarean section,Obstetrics,12,388,1
4651.00,23255.00,2,Cesarean section,Obstetrics,68,210,1
4651.00,23255.00,2,Cesarean section,Obstetrics,85,180,1
8824.00,44120.00,4,Cesarean section,Obstetrics,174,210,1
6202.00,31010.00,2,Cesarean section,Obstetrics,180,4792,1
2622.00,13110.00,2,Cesarean section,Obstetrics,209,744,1
23257.00,116285.00,8,Cesarean section,Obstetrics,388,388,1
23257.00,116285.00,8,Cesarean section,Obstetrics,744,180,1
3049.00,15245.00,2,Cesarean section,Obstetrics,3535,3535,1
5248.00,26240.00,2,Cesarean section,Obstetrics,3950,3419,-1
18606.00,85278.00,6,Cesarean section,Obstetrics,4792,180,1
6202.00,31010.00,2,Cesarean section,Obstetrics,19351,180,1
853.00,1706.00,2,Cholecystectomy and common duct exploration,Digestive System,4792,4303,-1
754.00,2513.00,2,Cholecystectomy and common duct exploration,Digestive System,31939,26892,-1
0.00,0.00,2,Circumcision,Male Genital Organs,710,4301,1
615.00,2050.00,2,Colonoscopy and biopsy,Digestive System,242,3881,-1
4039.00,9177.00,10,Colonoscopy and biopsy,Digestive System,242,21656,-1
294.00,196.00,3,Colonoscopy and biopsy,Digestive System,658,2424,-1
588.00,858.00,2,Colonoscopy and biopsy,Digestive System,744,3006,-1
281.00,937.00,3,Colonoscopy and biopsy,Digestive System,2701,4387,1
1063.00,3401.00,2,Colonoscopy and biopsy,Digestive System,3192,21656,-1
492.00,1640.00,4,Colonoscopy and biopsy,Digestive System,3662,4387,1
2042.00,3090.00,8,Colonoscopy and biopsy,Digestive System,3758,4387,1
1502.00,4538.00,7,Colonoscopy and biopsy,Digestive System,4079,4387,1
405.00,848.00,2,Colonoscopy and biopsy,Digestive System,4315,2294,1
294.00,226.00,2,Colonoscopy and biopsy,Digestive System,4315,2445,1
0.00,0.00,2,Colonoscopy and biopsy,Digestive System,4315,2747,1
927.00,3238.00,4,Colonoscopy and biopsy,Digestive System,4356,4387,1
396.00,1170.00,2,Colonoscopy and biopsy,Digestive System,4383,2294,1
840.00,481.00,2,Colonoscopy and biopsy,Digestive System,4383,2541,1
3135.00,7115.00,6,Colonoscopy and biopsy,Digestive System,4789,21656,-1
4835.00,11464.00,10,Colonoscopy and biopsy,Digestive System,4792,21656,-1
1854.00,4274.00,8,Colonoscopy and biopsy,Digestive System,31700,4387,1
1539.00,642.00,2,Colorectal resection,Digestive System,4792,26892,-1
90.00,136.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,242,2582,-1
66.00,660.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,388,3136,1
120.00,733.00,3,Computerized axial tomography (CT) scan head,Diagnostic Procedures,388,6937,1
77.00,167.00,3,Computerized axial tomography (CT) scan head,Diagnostic Procedures,658,6937,1
80.00,257.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,710,5047,1
106.00,49.00,4,Computerized axial tomography (CT) scan head,Diagnostic Procedures,710,6937,1
123.00,106.00,4,Computerized axial tomography (CT) scan head,Diagnostic Procedures,2457,5196,1
80.00,80.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,2457,9692,-1
0.00,0.00,4,Computerized axial tomography (CT) scan head,Diagnostic Procedures,2457,16626,-1
0.00,0.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,2457,26907,-1
280.00,1400.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,3054,3680,1
963.00,2268.00,5,Computerized axial tomography (CT) scan head,Diagnostic Procedures,3073,3680,1
80.00,124.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,3073,7732,1
157.00,51.00,3,Computerized axial tomography (CT) scan head,Diagnostic Procedures,3073,16890,-1
0.00,0.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,3662,9692,-1
889.00,1584.00,6,Computerized axial tomography (CT) scan head,Diagnostic Procedures,3758,3680,1
349.00,517.00,3,Computerized axial tomography (CT) scan head,Diagnostic Procedures,4079,3680,1
0.00,0.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,4249,28454,-1
107.00,214.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,4251,32581,-1
350.00,3500.00,2,Computerized axial tomography (CT) scan head,Diagnostic Procedures,4262,2601,-1
